OUA;Turno;Parcela;Perso_Ag;Personalidad;Nueva_Personalidad;Año;Semana;Día;Estado Embalse;Estado Riego;Fiscalizacion;Accion_Ag;etiqueta_agente;etiqueta_com;contador_multas;acumulado_utm
1;1;5803;Egoista;0.2;0.25;1;15;99;Riego Regulado;Habilitado;90;Respetar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.1;1;15;99;Riego Regulado;Habilitado;50;Ignorar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.1;1;15;99;Riego Regulado;Habilitado;10;Ignorar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.3;1;15;100;Riego Regulado;Habilitado;90;Respetar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;15;100;Riego Regulado;Habilitado;50;Ignorar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;15;100;Riego Regulado;Habilitado;10;Ignorar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.35;1;15;101;Riego Regulado;No Habilitado;90;Respetar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;15;101;Riego Regulado;No Habilitado;50;Ignorar Turno;OFF;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;15;101;Riego Regulado;No Habilitado;10;Ignorar Turno;OFF;OFF;0;0
1;1;5803;Egoista;0.2;0.39999999999999997;1;15;102;Riego Regulado;No Habilitado;90;Respetar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;15;102;Riego Regulado;No Habilitado;50;Ignorar Turno;OFF;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;15;102;Riego Regulado;No Habilitado;10;Ignorar Turno;OFF;OFF;0;0
1;1;5803;Egoista;0.2;0.44999999999999996;1;15;103;Riego Regulado;No Habilitado;90;Respetar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;15;103;Riego Regulado;No Habilitado;50;Ignorar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;15;103;Riego Regulado;No Habilitado;10;Ignorar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.49999999999999994;1;15;104;Riego Regulado;No Habilitado;90;Respetar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;15;104;Riego Regulado;No Habilitado;50;Ignorar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;15;104;Riego Regulado;No Habilitado;10;Ignorar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.5499999999999999;1;15;105;Riego Regulado;No Habilitado;90;Respetar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;15;105;Riego Regulado;No Habilitado;50;Ignorar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;15;105;Riego Regulado;No Habilitado;10;Ignorar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;1.0;1;16;106;Riego Regulado;No Habilitado;90;Respetar Turno;;ADAP;0;0
1;1;5803;Egoista;0.2;0.01;1;16;106;Riego Regulado;No Habilitado;50;Ignorar Turno;;ADAP;0;0
